S. No,PlanPlatform,TypeofPlan,PlanEffDate,PlanTermDate,Benefits,City,State,Members,Claims
942,HMO,HMO Medical,1/1/2017,12/31/9999,clinical,XX,TX,86,42
943,Medicare,EPOs,6/15/2017,12/31/9999,Pharmacy,YY,Ohio,150,70
944,Medicare,Medicare Part A,1/1/2017,12/31/9999,Dental,Avon,CT,32,52
945,Traditional,Medicaid,5/31/2019,12/31/9999,Dental,Avon,PA,65,70
946,HMO,HMO Medical,1/31/2017,1/31/2019,Pharmacy,AA,Ohio,150,120
947,Medicare,Medicare Part B,1/1/2017,5/31/2019,Pharmacy,YY,Ohio,32,16
948,HMO,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,AA,CT,85,85
949,HMO,Medicare Part B,5/31/2019,12/31/9999,clinical,YY,PA,52,42
950,HMO,EPOs,1/1/2017,12/31/9999,Pharmacy,Avon,Ohio,83,16
951,HMO,Medicare Part A,6/15/2017,12/31/9999,clinical,Avon,Ohio,12,42
952,HMO,Medicare Advantage / Part C,1/1/2018,12/31/2017,Dental,AA,CT,65,70
953,Medicare,EPOs,5/31/2019,12/31/9999,clinical,Avon,CT,32,45
954,Medicaid,EPOs,7/1/2019,12/31/9999,Dental,AA,Ohio,86,8
955,HMO,HMO Commercial,7/1/2019,6/30/2019,Pharmacy,ZZ,Ohio,12,85
956,Medicare,PPO,1/1/2017,6/30/2019,Dental,Avon,PA,86,8
957,Traditional,HMO Commercial,5/31/2019,12/31/2017,clinical,Avon,Ohio,65,16
958,HMO,POS,1/1/2018,12/31/9999,Dental,Avon,Ohio,47,120
959,Medicare,PPO,1/1/2017,12/31/9999,Pharmacy,AA,PA,83,42
960,Medicaid,Medicare Part A,7/1/2019,12/31/9999,Pharmacy,YY,CT,86,45
961,Medicare,HNO,6/15/2017,12/31/9999,Dental,Avon,PA,32,70
962,HMO,Medicare Advantage / Part C,7/1/2019,1/31/2019,Pharmacy,AA,CT,32,16
963,Medicare,EPOs,1/1/2018,1/31/2019,clinical,XX,Ohio,47,85
964,Medicare,Medicaid,7/1/2019,5/30/2019,Dental,AA,CT,65,52
965,Medicare,Medicare Advantage / Part C,1/1/2017,12/31/9999,clinical,Avon,CT,83,16
966,Medicare,POS,7/1/2019,12/31/2017,Pharmacy,Avon,Ohio,150,70
967,HMO,Medicaid,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,83,8
968,Medicare,Medicare Part D,7/1/2019,12/31/9999,Dental,Avon,PA,86,8
969,HMO,Medicare Part A,5/31/2019,12/31/9999,Dental,YY,Ohio,83,42
970,Medicare,PPO,1/1/2017,12/31/9999,Pharmacy,YY,CT,150,31
971,HMO,Medicare Part D,5/31/2019,12/31/9999,clinical,AA,PA,47,8
972,Medicaid,HMO Commercial,7/1/2019,12/31/9999,Dental,AA,Ohio,150,70
973,Traditional,EPOs,6/15/2017,12/31/9999,Dental,Avon,Ohio,47,70
974,Medicare,Medicare Part D,7/1/2019,12/31/9999,clinical,Avon,PA,65,31
975,Medicare,HMO Commercial,5/31/2019,12/31/9999,Dental,YY,Ohio,65,85
976,HMO,Medicare Advantage / Part C,7/1/2019,12/31/9999,Pharmacy,ZZ,Ohio,32,16
977,Medicare,HNO,7/1/2019,5/30/2019,Pharmacy,YY,CT,83,42
978,Traditional,HMO Medical,7/1/2019,12/31/9999,Pharmacy,Avon,Ohio,83,70
979,Medicare,PPO,1/1/2018,12/31/9999,Pharmacy,YY,Ohio,47,45
980,HMO,EPOs,7/1/2019,12/31/9999,Pharmacy,AA,CT,85,42
981,HMO,POS,5/31/2019,12/31/9999,clinical,XX,Ohio,65,42
982,Medicare,Medicaid,1/1/2017,12/31/9999,Pharmacy,AA,Ohio,47,120
983,HMO,Medicaid,5/31/2019,5/31/2019,Dental,XX,Ohio,52,52
984,Medicare,Medicare Part D,7/1/2019,12/31/9999,clinical,Avon,CT,86,16
985,Medicare,EPOs,6/15/2017,12/31/9999,Pharmacy,XX,CT,150,16
986,Traditional,Medicare Part A,1/1/2018,5/31/2019,Pharmacy,ZZ,Ohio,150,52
987,HMO,Medicare Part D,1/31/2017,5/31/2019,clinical,ZZ,CT,65,42
988,HMO,Medicare Advantage / Part C,5/31/2019,12/31/9999,Pharmacy,YY,Ohio,83,16
989,Medicare,HNO,5/31/2019,12/31/2017,Pharmacy,YY,Ohio,52,16
990,Traditional,EPOs,5/31/2019,12/31/9999,clinical,ZZ,PA,12,42
991,Traditional,Medicare Part D,6/15/2017,5/31/2019,Dental,Avon,CT,32,70
992,Traditional,Medicare Advantage / Part C,7/1/2019,12/31/2017,Pharmacy,YY,CT,65,70
993,Traditional,Medicare Part D,7/1/2019,12/31/9999,clinical,YY,CT,47,45
994,Medicare,POS,7/1/2019,12/31/9999,Pharmacy,AA,PA,83,70
995,Medicare,Medicaid,7/1/2019,5/31/2019,Pharmacy,YY,Ohio,83,8
996,Medicare,POS,7/1/2019,12/31/9999,Pharmacy,YY,PA,12,16
997,Traditional,EPOs,7/1/2019,12/31/9999,clinical,YY,Ohio,12,8
998,Traditional,Medicare Part B,1/1/2018,12/31/9999,clinical,Avon,Ohio,83,120
999,Medicaid,EPOs,1/1/2017,5/31/2019,Pharmacy,XX,CT,83,42
1000,HMO,HNO,6/15/2017,6/30/2019,Pharmacy,AA,Ohio,150,31
1001,HMO,POS,1/31/2017,12/31/9999,clinical,XX,CT,32,70
1002,HMO,Medicaid,5/31/2019,5/31/2019,Dental,YY,Ohio,52,52
1003,HMO,EPOs,5/31/2019,5/31/2019,Pharmacy,Avon,Ohio,83,42
1004,Traditional,Medicare Part D,7/1/2019,12/31/9999,Pharmacy,AA,CT,85,52
1005,Medicare,PPO,6/15/2017,5/31/2019,Pharmacy,Avon,Ohio,52,8
1006,Medicaid,Medicare Advantage / Part C,1/31/2017,12/31/9999,Pharmacy,YY,PA,32,52
1007,Traditional,Medicaid,7/1/2019,1/31/2019,clinical,YY,PA,83,42
1008,Medicare,PPO,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,47,42
1009,Traditional,Medicare Part B,6/15/2017,12/31/9999,Dental,Avon,PA,47,45
1010,Medicare,Medicare Part A,6/15/2017,12/31/2017,Dental,AA,PA,83,8
1011,Medicare,HMO Medical,1/1/2018,12/31/9999,Pharmacy,YY,Ohio,12,45
1012,Medicaid,EPOs,1/1/2017,12/31/9999,Pharmacy,Avon,PA,32,42
1013,HMO,HMO Commercial,1/31/2017,1/31/2019,clinical,YY,TX,86,70
1014,Medicare,Medicare Advantage / Part C,6/15/2017,6/30/2019,clinical,AA,TX,12,52
1015,Medicare,Medicare Advantage / Part C,5/31/2019,6/30/2019,clinical,AA,CT,85,120
1016,HMO,EPOs,7/1/2019,12/31/9999,Pharmacy,AA,PA,85,70
1017,HMO,HMO Medical,1/31/2017,12/31/9999,Pharmacy,AA,Ohio,150,70
1018,HMO,HMO Medical,5/31/2019,12/31/2017,clinical,Avon,CT,86,85
1019,Medicare,Medicare Part A,1/1/2017,5/30/2019,Pharmacy,AA,Ohio,65,120
1020,Traditional,PPO,1/1/2018,5/30/2019,Dental,AA,PA,85,52
1021,Medicare,Medicare Part B,7/1/2019,12/31/9999,Dental,Avon,Ohio,47,42
1022,Medicare,Medicare Part A,1/1/2018,12/31/9999,clinical,YY,Ohio,12,70
1023,Medicare,Medicare Part A,1/1/2018,6/30/2019,Dental,Avon,Ohio,150,85
1024,Medicaid,Medicaid,7/1/2019,12/31/9999,clinical,YY,Ohio,32,120
1025,Medicare,Medicaid,1/1/2018,12/31/9999,clinical,AA,Ohio,52,120
1026,Traditional,EPOs,1/1/2017,12/31/2017,Pharmacy,AA,CT,86,31
1027,Medicare,HMO Medical,1/1/2017,5/30/2019,Dental,Avon,CT,83,16
1028,Traditional,Medicaid,1/31/2017,1/31/2019,Dental,YY,PA,32,31
1029,Medicare,Medicare Part A,1/1/2017,5/31/2019,Pharmacy,Avon,Ohio,32,70
1030,HMO,HNO,1/1/2018,12/31/9999,Pharmacy,ZZ,Ohio,65,52
1031,Traditional,Medicare Part D,1/31/2017,1/31/2019,clinical,AA,CT,150,120
1032,Medicare,HMO Medical,1/31/2017,12/31/2017,Dental,YY,Ohio,32,70
1033,Medicare,HMO Commercial,5/31/2019,12/31/9999,Pharmacy,AA,CT,83,120
1034,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,ZZ,PA,65,70
1035,Traditional,HNO,6/15/2017,12/31/2017,Dental,Avon,CT,150,16
1036,Medicare,Medicaid,1/1/2018,12/31/9999,Pharmacy,AA,Ohio,32,31
1037,Medicare,PPO,7/1/2019,5/31/2019,Dental,Avon,TX,12,70
1038,Medicaid,Medicare Part B,7/1/2019,1/31/2019,Pharmacy,ZZ,Ohio,12,42
1039,Traditional,Medicare Part B,1/1/2017,1/31/2019,Pharmacy,XX,PA,150,16
1040,HMO,Medicaid,1/1/2017,5/30/2019,Dental,ZZ,PA,83,70
1041,Medicare,EPOs,7/1/2019,5/31/2019,Pharmacy,Avon,CT,32,16
1042,Traditional,HMO Commercial,5/31/2019,12/31/9999,Dental,Avon,Ohio,52,31
1043,Medicare,HMO Commercial,1/31/2017,5/30/2019,Dental,YY,Ohio,83,16
1044,HMO,Medicare Part B,7/1/2019,12/31/9999,Pharmacy,YY,PA,65,52
1045,Traditional,HMO Medical,7/1/2019,1/31/2019,Dental,XX,PA,83,42
1046,Traditional,Medicaid,5/31/2019,1/31/2019,Pharmacy,AA,CT,32,8
1047,Traditional,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,ZZ,TX,86,42
1048,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/2017,Pharmacy,AA,CT,65,70
1049,Medicare,Medicare Part B,1/1/2018,5/31/2019,Dental,AA,CT,65,85
1050,Medicare,EPOs,1/1/2017,12/31/2017,Pharmacy,AA,CT,65,31
1051,Medicare,Medicare Part D,1/31/2017,12/31/9999,Pharmacy,AA,Ohio,32,70
1052,Medicare,Medicare Part A,1/1/2017,12/31/2017,clinical,Avon,Ohio,32,42
1053,Medicare,POS,5/31/2019,6/30/2019,Dental,AA,PA,83,85
1054,Medicare,HMO Medical,1/1/2017,1/31/2019,Pharmacy,YY,Ohio,150,52
1055,HMO,Medicare Advantage / Part C,7/1/2019,12/31/9999,Pharmacy,Avon,PA,52,16
1056,Medicare,HMO Medical,7/1/2019,12/31/9999,Dental,YY,PA,150,8
1057,Traditional,Medicare Part D,6/15/2017,12/31/9999,Pharmacy,ZZ,Ohio,65,16
1058,HMO,Medicare Part B,7/1/2019,12/31/9999,clinical,AA,Ohio,47,52
1059,Traditional,Medicare Part A,7/1/2019,5/31/2019,Pharmacy,YY,Ohio,85,16
1060,HMO,HNO,5/31/2019,12/31/9999,Pharmacy,ZZ,PA,32,8
1061,HMO,HMO Commercial,5/31/2019,1/31/2019,Pharmacy,AA,PA,47,45
1062,Traditional,Medicare Part D,1/1/2017,12/31/9999,Pharmacy,AA,CT,47,42
1063,HMO,POS,6/15/2017,12/31/9999,clinical,Avon,TX,85,42
1064,Medicare,Medicare Part B,5/31/2019,12/31/2017,clinical,AA,CT,85,16
1065,Medicare,Medicare Part D,5/31/2019,5/31/2019,Dental,AA,Ohio,12,42
1066,Traditional,HMO Commercial,5/31/2019,12/31/9999,clinical,AA,Ohio,86,31
1067,Traditional,Medicare Part B,5/31/2019,5/31/2019,Pharmacy,AA,Ohio,32,16
1068,Medicare,Medicare Part D,1/1/2017,5/31/2019,Dental,AA,PA,83,45
1069,Medicare,HMO Medical,5/31/2019,5/31/2019,clinical,AA,TX,65,31
1070,Traditional,Medicare Part B,1/1/2017,12/31/9999,Pharmacy,YY,Ohio,52,16
1071,HMO,Medicare Part D,5/31/2019,12/31/9999,clinical,AA,PA,83,120
1072,HMO,Medicare Part A,5/31/2019,12/31/9999,Dental,YY,PA,32,52
1073,Traditional,Medicare Part B,7/1/2019,5/31/2019,Pharmacy,AA,Ohio,65,42
1074,Medicare,Medicare Part D,1/1/2017,1/31/2019,clinical,AA,Ohio,83,70
1075,Medicaid,Medicaid,5/31/2019,1/31/2019,Pharmacy,AA,TX,150,16
1076,Medicare,POS,5/31/2019,5/31/2019,clinical,ZZ,PA,83,70
1077,Traditional,POS,5/31/2019,5/30/2019,Dental,AA,Ohio,65,45
1078,Medicare,PPO,1/31/2017,12/31/9999,clinical,AA,PA,86,52
1079,Medicaid,Medicare Advantage / Part C,1/31/2017,12/31/9999,Dental,Avon,PA,83,16
1080,Medicare,EPOs,1/31/2017,12/31/9999,Pharmacy,YY,Ohio,83,52
1081,HMO,EPOs,1/1/2017,5/30/2019,Dental,XX,Ohio,86,42
1082,HMO,EPOs,5/31/2019,5/31/2019,Pharmacy,AA,CT,86,45
1083,Medicare,POS,5/31/2019,12/31/9999,clinical,AA,CT,32,120
1084,Medicare,Medicare Part D,7/1/2019,12/31/9999,clinical,YY,CT,83,31
1085,Traditional,Medicare Advantage / Part C,5/31/2019,5/31/2019,Dental,AA,Ohio,86,70
1086,Medicare,Medicare Advantage / Part C,7/1/2019,12/31/9999,clinical,XX,CT,150,52
1087,HMO,Medicare Part A,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,150,16
1088,HMO,Medicare Part B,5/31/2019,12/31/9999,clinical,YY,Ohio,85,52
1089,Medicare,HMO Medical,5/31/2019,5/30/2019,Pharmacy,YY,PA,86,31
1090,Medicare,Medicaid,7/1/2019,5/30/2019,Pharmacy,AA,PA,83,45
1091,HMO,Medicare Part B,7/1/2019,12/31/9999,clinical,XX,CT,65,31
1092,HMO,Medicaid,7/1/2019,12/31/2017,Pharmacy,YY,PA,32,16
1093,Medicare,PPO,1/1/2017,12/31/9999,clinical,YY,Ohio,65,16
1094,Traditional,EPOs,5/31/2019,12/31/9999,Pharmacy,AA,PA,65,31
1095,HMO,Medicare Part D,5/31/2019,12/31/9999,Dental,YY,Ohio,47,16
1096,Traditional,HMO Medical,7/1/2019,12/31/9999,clinical,YY,PA,12,16
1097,Medicaid,PPO,1/31/2017,6/30/2019,Dental,Avon,Ohio,83,42
1098,Medicare,Medicare Part B,1/1/2017,5/30/2019,clinical,YY,CT,86,45
1099,Medicaid,HNO,5/31/2019,5/30/2019,clinical,AA,Ohio,83,16
1100,Traditional,Medicaid,6/15/2017,12/31/9999,Dental,AA,CT,32,45
1101,Traditional,Medicare Part B,7/1/2019,12/31/9999,Pharmacy,ZZ,Ohio,65,42
1102,HMO,HMO Medical,5/31/2019,6/30/2019,Pharmacy,XX,CT,47,42
1103,Medicaid,Medicaid,1/31/2017,12/31/9999,Dental,XX,Ohio,12,45
1104,Traditional,Medicare Part A,5/31/2019,5/31/2019,Dental,ZZ,PA,65,70
1105,HMO,Medicaid,6/15/2017,12/31/9999,Pharmacy,AA,PA,47,16
1106,Medicare,POS,5/31/2019,5/30/2019,clinical,YY,PA,83,31
1107,Traditional,Medicare Part B,7/1/2019,5/31/2019,Pharmacy,XX,Ohio,47,31
1108,HMO,POS,6/15/2017,12/31/9999,Pharmacy,AA,Ohio,83,52
1109,Medicare,Medicare Part A,5/31/2019,5/30/2019,Pharmacy,YY,CT,83,70
1110,Medicaid,HMO Commercial,6/15/2017,12/31/9999,Pharmacy,YY,CT,83,45
1111,HMO,Medicaid,5/31/2019,12/31/9999,Dental,AA,Ohio,32,52
1112,HMO,HMO Medical,7/1/2019,5/31/2019,clinical,Avon,PA,52,70
1113,HMO,POS,5/31/2019,12/31/9999,Pharmacy,Avon,Ohio,12,120
1114,HMO,EPOs,7/1/2019,5/30/2019,Dental,Avon,CT,85,70
1115,Medicare,Medicare Part D,5/31/2019,6/30/2019,Dental,Avon,PA,32,120
1116,HMO,PPO,1/1/2017,12/31/9999,Dental,ZZ,PA,52,85
1117,Medicare,Medicare Advantage / Part C,1/1/2017,5/31/2019,Dental,ZZ,PA,65,16
1118,HMO,EPOs,6/15/2017,5/31/2019,Dental,Avon,CT,32,42
1119,Traditional,EPOs,5/31/2019,5/31/2019,Pharmacy,Avon,CT,47,31
1120,HMO,HMO Commercial,5/31/2019,12/31/2017,Pharmacy,AA,Ohio,86,31
1121,HMO,Medicare Part A,7/1/2019,12/31/9999,Pharmacy,YY,CT,150,45
1122,Traditional,HMO Commercial,6/15/2017,12/31/9999,Dental,ZZ,CT,12,120
1123,Traditional,Medicare Part D,7/1/2019,12/31/9999,Pharmacy,AA,TX,85,120
1124,Medicare,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,Avon,CT,32,45
1125,HMO,POS,6/15/2017,12/31/9999,Pharmacy,Avon,PA,32,85
1126,Traditional,PPO,1/1/2018,12/31/9999,clinical,Avon,Ohio,12,120
1127,Traditional,EPOs,7/1/2019,12/31/9999,Pharmacy,YY,Ohio,32,42
1128,Traditional,HMO Medical,5/31/2019,12/31/9999,Pharmacy,AA,CT,83,8
1129,Medicare,Medicare Part B,6/15/2017,1/31/2019,Pharmacy,AA,PA,32,120
1130,Traditional,HMO Commercial,5/31/2019,1/31/2019,Pharmacy,Avon,Ohio,12,70
1131,HMO,Medicaid,1/31/2017,12/31/9999,Pharmacy,Avon,Ohio,86,70
1132,Medicare,Medicare Part B,1/1/2018,5/31/2019,Pharmacy,YY,Ohio,83,16
1133,Medicare,Medicare Part D,1/31/2017,12/31/9999,Pharmacy,AA,PA,85,45
1134,HMO,Medicare Part D,7/1/2019,5/30/2019,Pharmacy,YY,TX,47,31
1135,Traditional,Medicare Advantage / Part C,1/1/2017,12/31/9999,clinical,YY,Ohio,86,70
1136,HMO,HNO,1/1/2017,6/30/2019,Dental,Avon,Ohio,32,52
1137,HMO,PPO,7/1/2019,5/31/2019,Pharmacy,XX,Ohio,52,16
1138,HMO,EPOs,1/1/2017,5/30/2019,Dental,YY,CT,150,8
1139,Traditional,PPO,1/1/2018,6/30/2019,Dental,AA,CT,65,45
1140,Medicare,EPOs,1/31/2017,12/31/9999,Pharmacy,AA,CT,65,70
1141,HMO,Medicaid,7/1/2019,12/31/9999,Dental,AA,CT,85,42
1142,Medicare,Medicare Part A,5/31/2019,5/31/2019,Pharmacy,AA,Ohio,52,16
1143,HMO,HMO Commercial,1/31/2017,6/30/2019,clinical,AA,PA,52,8
1144,Medicare,POS,1/1/2017,12/31/9999,Dental,YY,CT,83,8
1145,Medicaid,Medicare Part B,1/1/2017,12/31/9999,clinical,Avon,Ohio,32,70
1146,Traditional,HMO Commercial,1/1/2018,12/31/9999,Dental,AA,Ohio,32,8
1147,Medicare,EPOs,5/31/2019,12/31/9999,Dental,AA,Ohio,32,120
1148,HMO,Medicare Advantage / Part C,1/1/2017,12/31/9999,Pharmacy,YY,Ohio,83,42
1149,Medicaid,HMO Commercial,5/31/2019,5/31/2019,Dental,Avon,TX,83,70
1150,HMO,Medicare Part A,1/1/2017,5/31/2019,Pharmacy,AA,PA,83,16
1151,Medicare,PPO,1/1/2017,12/31/9999,clinical,AA,PA,83,120
1152,HMO,Medicare Part B,1/1/2017,12/31/9999,Pharmacy,ZZ,Ohio,65,70
1153,Medicare,Medicaid,6/15/2017,12/31/2017,clinical,Avon,Ohio,32,70
1154,HMO,Medicare Part D,7/1/2019,6/30/2019,clinical,Avon,PA,32,16
1155,HMO,Medicaid,7/1/2019,12/31/9999,clinical,YY,Ohio,65,45
1156,Traditional,Medicaid,5/31/2019,5/31/2019,clinical,AA,Ohio,32,45
1157,Medicare,Medicare Part B,1/1/2017,12/31/9999,clinical,YY,TX,52,52
1158,Medicare,HMO Commercial,6/15/2017,12/31/9999,Pharmacy,ZZ,CT,47,52
1159,HMO,Medicaid,1/31/2017,12/31/9999,Pharmacy,AA,Ohio,52,52
1160,Traditional,PPO,1/1/2017,5/31/2019,clinical,AA,TX,65,85
1161,Traditional,HMO Commercial,7/1/2019,5/31/2019,Pharmacy,AA,PA,150,45
1162,Medicare,HMO Medical,1/31/2017,12/31/9999,clinical,XX,PA,65,70
1163,Traditional,Medicaid,1/1/2017,5/30/2019,Dental,AA,PA,83,70
1164,HMO,HNO,7/1/2019,6/30/2019,Pharmacy,YY,PA,32,85
1165,Medicare,HMO Medical,1/1/2017,12/31/9999,Pharmacy,YY,TX,52,8
1166,HMO,HMO Medical,6/15/2017,12/31/9999,Pharmacy,AA,Ohio,52,16
1167,Traditional,Medicare Part D,7/1/2019,5/31/2019,Pharmacy,ZZ,Ohio,32,31
1168,Traditional,Medicare Part B,1/1/2017,12/31/9999,clinical,Avon,PA,150,45
1169,HMO,HMO Commercial,5/31/2019,5/30/2019,Pharmacy,Avon,Ohio,65,45
1170,Medicare,Medicaid,7/1/2019,12/31/9999,Dental,AA,Ohio,83,42
1171,Traditional,Medicaid,5/31/2019,12/31/9999,Dental,AA,Ohio,47,52
1172,HMO,Medicare Part B,5/31/2019,12/31/9999,clinical,Avon,Ohio,150,45
1173,Traditional,HNO,7/1/2019,12/31/9999,Pharmacy,ZZ,CT,47,16
1174,HMO,PPO,1/31/2017,12/31/9999,Dental,ZZ,PA,52,120
1175,Traditional,HNO,5/31/2019,12/31/9999,Dental,AA,PA,47,8
1176,HMO,Medicare Part D,7/1/2019,12/31/2017,Dental,YY,Ohio,65,16
1177,Traditional,POS,5/31/2019,12/31/9999,Dental,AA,Ohio,65,52
1178,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/9999,clinical,YY,Ohio,85,42
1179,Medicaid,Medicare Part D,1/1/2017,12/31/9999,clinical,AA,PA,47,42
1180,Traditional,HMO Commercial,1/1/2018,5/30/2019,Pharmacy,Avon,CT,12,31
1181,Medicare,Medicare Part B,1/1/2018,12/31/9999,Pharmacy,Avon,Ohio,52,85
1182,Medicare,Medicaid,1/31/2017,12/31/9999,Pharmacy,AA,PA,32,120
1183,Medicare,HMO Commercial,1/31/2017,12/31/2017,Pharmacy,AA,PA,65,42
1184,Traditional,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,Avon,Ohio,85,31
1185,Medicaid,HNO,5/31/2019,12/31/2017,Pharmacy,YY,Ohio,52,45
1186,Traditional,Medicaid,5/31/2019,12/31/9999,clinical,YY,Ohio,83,85
1187,Traditional,HMO Commercial,5/31/2019,12/31/9999,Dental,Avon,PA,12,16
1188,Medicare,HNO,1/31/2017,5/30/2019,clinical,AA,Ohio,86,120
1189,Medicare,Medicaid,5/31/2019,1/31/2019,Pharmacy,Avon,CT,85,70
1190,Medicare,EPOs,5/31/2019,1/31/2019,Pharmacy,YY,Ohio,83,42
1191,HMO,POS,7/1/2019,12/31/9999,clinical,AA,CT,32,85
1192,HMO,PPO,1/1/2018,5/31/2019,Dental,AA,Ohio,32,70
1193,Traditional,EPOs,1/31/2017,5/31/2019,Pharmacy,AA,CT,85,31
1194,Traditional,HMO Medical,1/31/2017,5/31/2019,Dental,Avon,Ohio,47,120
1195,Traditional,EPOs,7/1/2019,12/31/9999,Pharmacy,YY,PA,83,120
1196,Medicare,HNO,7/1/2019,5/31/2019,Dental,XX,Ohio,85,45
1197,Medicaid,HNO,1/1/2018,12/31/9999,clinical,Avon,CT,65,70
1198,Medicare,EPOs,1/1/2017,12/31/9999,Pharmacy,YY,PA,83,42
1199,Traditional,Medicare Advantage / Part C,5/31/2019,12/31/2017,clinical,AA,CT,47,85
1200,HMO,PPO,1/1/2018,1/31/2019,clinical,AA,CT,83,31
1201,HMO,POS,7/1/2019,12/31/9999,Pharmacy,Avon,Ohio,65,16
1202,Medicaid,POS,6/15/2017,12/31/9999,Pharmacy,AA,Ohio,65,85
1203,HMO,HNO,1/1/2017,12/31/9999,Pharmacy,XX,PA,32,42
1204,HMO,POS,5/31/2019,6/30/2019,clinical,AA,Ohio,47,70
1205,Medicaid,Medicaid,7/1/2019,12/31/9999,Pharmacy,YY,PA,47,120
1206,Medicare,Medicaid,1/1/2017,6/30/2019,clinical,Avon,PA,52,8
1207,Medicare,HNO,5/31/2019,12/31/9999,clinical,ZZ,PA,83,120
1208,Medicare,POS,5/31/2019,1/31/2019,Pharmacy,YY,Ohio,86,85
1209,Medicaid,HNO,7/1/2019,5/30/2019,clinical,YY,CT,52,16
1210,Medicaid,EPOs,5/31/2019,12/31/9999,Pharmacy,ZZ,Ohio,65,120
1211,Medicaid,Medicaid,5/31/2019,5/31/2019,Pharmacy,Avon,Ohio,150,85
1212,Medicare,Medicare Part B,7/1/2019,12/31/9999,Dental,ZZ,PA,52,52
1213,Medicare,Medicare Advantage / Part C,1/1/2018,5/30/2019,clinical,AA,Ohio,12,42
1214,Medicare,HNO,1/1/2017,12/31/2017,Pharmacy,Avon,Ohio,32,45
1215,HMO,Medicare Advantage / Part C,1/31/2017,6/30/2019,clinical,YY,Ohio,86,31
1216,HMO,EPOs,5/31/2019,1/31/2019,Pharmacy,AA,Ohio,47,70
1217,Medicare,HNO,1/1/2017,5/30/2019,Pharmacy,AA,Ohio,65,70
1218,Medicare,EPOs,5/31/2019,5/31/2019,clinical,AA,Ohio,65,8
1219,HMO,PPO,7/1/2019,12/31/9999,Pharmacy,Avon,Ohio,12,42
1220,Medicare,HMO Commercial,5/31/2019,12/31/9999,Dental,YY,Ohio,32,120
1221,Traditional,Medicare Part D,7/1/2019,12/31/2017,clinical,AA,TX,12,85
1222,Medicaid,Medicare Part B,1/31/2017,12/31/9999,Pharmacy,XX,Ohio,12,120
1223,HMO,POS,1/31/2017,12/31/9999,clinical,Avon,PA,86,45
1224,Medicare,PPO,1/1/2017,12/31/9999,Pharmacy,AA,CT,12,120
1225,HMO,HMO Commercial,1/1/2017,12/31/9999,Dental,AA,CT,85,45
1226,Traditional,POS,5/31/2019,5/30/2019,clinical,YY,PA,32,45
1227,Medicare,HMO Commercial,1/1/2018,6/30/2019,Pharmacy,AA,PA,52,16
1228,HMO,POS,1/31/2017,12/31/2017,Dental,Avon,PA,83,8
1229,HMO,PPO,1/31/2017,12/31/9999,Dental,YY,Ohio,65,16
1230,Medicare,HNO,7/1/2019,12/31/9999,clinical,XX,PA,85,85
1231,Medicare,HMO Medical,7/1/2019,6/30/2019,clinical,ZZ,PA,52,70
1232,Medicaid,Medicare Advantage / Part C,5/31/2019,1/31/2019,Pharmacy,YY,CT,85,70
1233,HMO,POS,1/1/2017,12/31/9999,Pharmacy,AA,CT,83,31
1234,HMO,POS,5/31/2019,5/30/2019,Pharmacy,Avon,PA,47,16
1235,Medicare,Medicare Advantage / Part C,1/1/2017,12/31/9999,clinical,XX,CT,83,16
1236,HMO,Medicare Advantage / Part C,1/1/2017,12/31/9999,clinical,YY,PA,83,31
1237,HMO,Medicare Part B,5/31/2019,12/31/9999,Dental,Avon,Ohio,32,70
1238,Traditional,Medicare Part D,1/1/2017,12/31/9999,Pharmacy,AA,CT,32,31
1239,Medicaid,Medicare Part B,7/1/2019,5/31/2019,Pharmacy,AA,Ohio,52,16
1240,Traditional,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,AA,CT,32,52
1241,Traditional,HMO Commercial,1/31/2017,12/31/9999,Pharmacy,XX,TX,150,42
1242,Medicare,HMO Medical,5/31/2019,5/31/2019,clinical,AA,TX,86,120
1243,Medicare,Medicaid,7/1/2019,12/31/2017,Pharmacy,AA,Ohio,52,42
1244,Medicare,HNO,5/31/2019,12/31/2017,clinical,Avon,TX,86,70
1245,Medicare,Medicaid,1/1/2018,12/31/9999,Dental,YY,PA,47,42
1246,Traditional,PPO,1/31/2017,12/31/9999,Pharmacy,YY,PA,85,42
1247,Traditional,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,AA,CT,32,85
1248,Medicare,Medicaid,7/1/2019,5/30/2019,Pharmacy,YY,Ohio,86,45
1249,Medicaid,Medicare Part B,6/15/2017,5/31/2019,Pharmacy,Avon,Ohio,65,16
1250,Traditional,HMO Commercial,1/1/2018,5/30/2019,Pharmacy,AA,Ohio,86,16
